"","iso3","continent"
"1","AFG","Asia"
"2","ALA","Europe"
"3","ALB","Europe"
"4","DZA","Africa"
"5","ASM","Oceania"
"6","AND","Europe"
"7","AGO","Africa"
"8","AIA","Americas"
"9","ATA",""
"10","ATG","Americas"
"11","ARG","Americas"
"12","ARM","Asia"
"13","ABW","Americas"
"14","AUS","Oceania"
"15","AUT","Europe"
"16","AZE","Asia"
"17","BHS","Americas"
"18","BHR","Asia"
"19","BGD","Asia"
"20","BRB","Americas"
"21","BLR","Europe"
"22","BEL","Europe"
"23","BLZ","Americas"
"24","BEN","Africa"
"25","BMU","Americas"
"26","BTN","Asia"
"27","BOL","Americas"
"28","BES","Americas"
"29","BIH","Europe"
"30","BWA","Africa"
"31","BVT","Americas"
"32","BRA","Americas"
"33","IOT","Africa"
"34","BRN","Asia"
"35","BGR","Europe"
"36","BFA","Africa"
"37","BDI","Africa"
"38","CPV","Africa"
"39","KHM","Asia"
"40","CMR","Africa"
"41","CAN","Americas"
"42","CYM","Americas"
"43","CAF","Africa"
"44","TCD","Africa"
"45","CHL","Americas"
"46","CHN","Asia"
"47","CXR","Oceania"
"48","CCK","Oceania"
"49","COL","Americas"
"50","COM","Africa"
"51","COG","Africa"
"52","COD","Africa"
"53","COK","Oceania"
"54","CRI","Americas"
"55","CIV","Africa"
"56","HRV","Europe"
"57","CUB","Americas"
"58","CUW","Americas"
"59","CYP","Asia"
"60","CZE","Europe"
"61","DNK","Europe"
"62","DJI","Africa"
"63","DMA","Americas"
"64","DOM","Americas"
"65","ECU","Americas"
"66","EGY","Africa"
"67","SLV","Americas"
"68","GNQ","Africa"
"69","ERI","Africa"
"70","EST","Europe"
"71","SWZ","Africa"
"72","ETH","Africa"
"73","FLK","Americas"
"74","FRO","Europe"
"75","FJI","Oceania"
"76","FIN","Europe"
"77","FRA","Europe"
"78","GUF","Americas"
"79","PYF","Oceania"
"80","ATF","Africa"
"81","GAB","Africa"
"82","GMB","Africa"
"83","GEO","Asia"
"84","DEU","Europe"
"85","GHA","Africa"
"86","GIB","Europe"
"87","GRC","Europe"
"88","GRL","Americas"
"89","GRD","Americas"
"90","GLP","Americas"
"91","GUM","Oceania"
"92","GTM","Americas"
"93","GGY","Europe"
"94","GIN","Africa"
"95","GNB","Africa"
"96","GUY","Americas"
"97","HTI","Americas"
"98","HMD","Oceania"
"99","VAT","Europe"
"100","HND","Americas"
"101","HKG","Asia"
"102","HUN","Europe"
"103","ISL","Europe"
"104","IND","Asia"
"105","IDN","Asia"
"106","IRN","Asia"
"107","IRQ","Asia"
"108","IRL","Europe"
"109","IMN","Europe"
"110","ISR","Asia"
"111","ITA","Europe"
"112","JAM","Americas"
"113","JPN","Asia"
"114","JEY","Europe"
"115","JOR","Asia"
"116","KAZ","Asia"
"117","KEN","Africa"
"118","KIR","Oceania"
"119","PRK","Asia"
"120","KOR","Asia"
"121","KWT","Asia"
"122","KGZ","Asia"
"123","LAO","Asia"
"124","LVA","Europe"
"125","LBN","Asia"
"126","LSO","Africa"
"127","LBR","Africa"
"128","LBY","Africa"
"129","LIE","Europe"
"130","LTU","Europe"
"131","LUX","Europe"
"132","MAC","Asia"
"133","MDG","Africa"
"134","MWI","Africa"
"135","MYS","Asia"
"136","MDV","Asia"
"137","MLI","Africa"
"138","MLT","Europe"
"139","MHL","Oceania"
"140","MTQ","Americas"
"141","MRT","Africa"
"142","MUS","Africa"
"143","MYT","Africa"
"144","MEX","Americas"
"145","FSM","Oceania"
"146","MDA","Europe"
"147","MCO","Europe"
"148","MNG","Asia"
"149","MNE","Europe"
"150","MSR","Americas"
"151","MAR","Africa"
"152","MOZ","Africa"
"153","MMR","Asia"
"154","NAM","Africa"
"155","NRU","Oceania"
"156","NPL","Asia"
"157","NLD","Europe"
"158","NCL","Oceania"
"159","NZL","Oceania"
"160","NIC","Americas"
"161","NER","Africa"
"162","NGA","Africa"
"163","NIU","Oceania"
"164","NFK","Oceania"
"165","MKD","Europe"
"166","MNP","Oceania"
"167","NOR","Europe"
"168","OMN","Asia"
"169","PAK","Asia"
"170","PLW","Oceania"
"171","PSE","Asia"
"172","PAN","Americas"
"173","PNG","Oceania"
"174","PRY","Americas"
"175","PER","Americas"
"176","PHL","Asia"
"177","PCN","Oceania"
"178","POL","Europe"
"179","PRT","Europe"
"180","PRI","Americas"
"181","QAT","Asia"
"182","REU","Africa"
"183","ROU","Europe"
"184","RUS","Europe"
"185","RWA","Africa"
"186","BLM","Americas"
"187","SHN","Africa"
"188","KNA","Americas"
"189","LCA","Americas"
"190","MAF","Americas"
"191","SPM","Americas"
"192","VCT","Americas"
"193","WSM","Oceania"
"194","SMR","Europe"
"195","STP","Africa"
"196","SAU","Asia"
"197","SEN","Africa"
"198","SRB","Europe"
"199","SYC","Africa"
"200","SLE","Africa"
"201","SGP","Asia"
"202","SXM","Americas"
"203","SVK","Europe"
"204","SVN","Europe"
"205","SLB","Oceania"
"206","SOM","Africa"
"207","ZAF","Africa"
"208","SGS","Americas"
"209","SSD","Africa"
"210","ESP","Europe"
"211","LKA","Asia"
"212","SDN","Africa"
"213","SUR","Americas"
"214","SJM","Europe"
"215","SWE","Europe"
"216","CHE","Europe"
"217","SYR","Asia"
"218","TWN","Asia"
"219","TJK","Asia"
"220","TZA","Africa"
"221","THA","Asia"
"222","TLS","Asia"
"223","TGO","Africa"
"224","TKL","Oceania"
"225","TON","Oceania"
"226","TTO","Americas"
"227","TUN","Africa"
"228","TUR","Asia"
"229","TKM","Asia"
"230","TCA","Americas"
"231","TUV","Oceania"
"232","UGA","Africa"
"233","UKR","Europe"
"234","ARE","Asia"
"235","GBR","Europe"
"236","USA","Americas"
"237","UMI","Oceania"
"238","URY","Americas"
"239","UZB","Asia"
"240","VUT","Oceania"
"241","VEN","Americas"
"242","VNM","Asia"
"243","VGB","Americas"
"244","VIR","Americas"
"245","WLF","Oceania"
"246","ESH","Africa"
"247","YEM","Asia"
"248","ZMB","Africa"
"249","ZWE","Africa"
