"","iso3","year","population"
"1","ABW","1980",60097
"2","ABW","1981",60561
"3","ABW","1982",61341
"4","ABW","1983",62213
"5","ABW","1984",62826
"6","ABW","1985",63024
"7","ABW","1986",62645
"8","ABW","1987",61838
"9","ABW","1988",61072
"10","ABW","1989",61033
"11","ABW","1990",62152
"12","ABW","1991",64623
"13","ABW","1992",68240
"14","ABW","1993",72495
"15","ABW","1994",76705
"16","ABW","1995",80324
"17","ABW","1996",83211
"18","ABW","1997",85450
"19","ABW","1998",87280
"20","ABW","1999",89009
"21","ABW","2000",90866
"22","ABW","2001",92892
"23","ABW","2002",94992
"24","ABW","2003",97016
"25","ABW","2004",98744
"26","ABW","2005",100028
"27","ABW","2006",100830
"28","ABW","2007",101226
"29","ABW","2008",101362
"30","ABW","2009",101452
"31","ABW","2010",101665
"32","ABW","2011",102050
"33","ABW","2012",102565
"34","ABW","2013",103165
"35","ABW","2014",103776
"36","ABW","2015",104339
"37","ABW","2016",104865
"38","ABW","2017",105361
"39","ABW","2018",105846
"40","ABW","2019",106310
"41","ABW","2020",106766
"42","ABW","2021",107195
"43","AFE","1980",227305945
"44","AFE","1981",234058404
"45","AFE","1982",240999134
"46","AFE","1983",248146290
"47","AFE","1984",255530063
"48","AFE","1985",263161451
"49","AFE","1986",271050065
"50","AFE","1987",279184536
"51","AFE","1988",287524258
"52","AFE","1989",296024639
"53","AFE","1990",304648010
"54","AFE","1991",313394693
"55","AFE","1992",322270073
"56","AFE","1993",331265579
"57","AFE","1994",340379934
"58","AFE","1995",349605660
"59","AFE","1996",358953595
"60","AFE","1997",368440591
"61","AFE","1998",378098393
"62","AFE","1999",387977990
"63","AFE","2000",398113044
"64","AFE","2001",408522129
"65","AFE","2002",419223717
"66","AFE","2003",430246635
"67","AFE","2004",441630149
"68","AFE","2005",453404076
"69","AFE","2006",465581372
"70","AFE","2007",478166911
"71","AFE","2008",491173160
"72","AFE","2009",504604672
"73","AFE","2010",518468229
"74","AFE","2011",532760424
"75","AFE","2012",547482863
"76","AFE","2013",562601578
"77","AFE","2014",578075373
"78","AFE","2015",593871847
"79","AFE","2016",609978946
"80","AFE","2017",626392880
"81","AFE","2018",643090131
"82","AFE","2019",660046272
"83","AFE","2020",677243299
"84","AFE","2021",694665117
"85","AFG","1980",13356500
"86","AFG","1981",13171679
"87","AFG","1982",12882518
"88","AFG","1983",12537732
"89","AFG","1984",12204306
"90","AFG","1985",11938204
"91","AFG","1986",11736177
"92","AFG","1987",11604538
"93","AFG","1988",11618008
"94","AFG","1989",11868873
"95","AFG","1990",12412311
"96","AFG","1991",13299016
"97","AFG","1992",14485543
"98","AFG","1993",15816601
"99","AFG","1994",17075728
"100","AFG","1995",18110662
"101","AFG","1996",18853444
"102","AFG","1997",19357126
"103","AFG","1998",19737770
"104","AFG","1999",20170847
"105","AFG","2000",20779957
"106","AFG","2001",21606992
"107","AFG","2002",22600774
"108","AFG","2003",23680871
"109","AFG","2004",24726689
"110","AFG","2005",25654274
"111","AFG","2006",26433058
"112","AFG","2007",27100542
"113","AFG","2008",27722281
"114","AFG","2009",28394806
"115","AFG","2010",29185511
"116","AFG","2011",30117411
"117","AFG","2012",31161378
"118","AFG","2013",32269592
"119","AFG","2014",33370804
"120","AFG","2015",34413603
"121","AFG","2016",35383028
"122","AFG","2017",36296111
"123","AFG","2018",37171922
"124","AFG","2019",38041757
"125","AFG","2020",38928341
"126","AFG","2021",39835428
"127","AFW","1980",155882270
"128","AFW","1981",160223588
