"unicef_region","iso3","country","vaccine","X2021","X2020","X2019","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992"
"ROSA","AFG","Afghanistan","BCG",84,87,86,89,84,78,76,74,72,78,71,68,64,66,60,60,57,51,44,46,43,30,38,35,43,47,31,15,17,19
"ECAR","ALB","Albania","BCG",99,98,99,99,99,99,99,99,99,96,97,99,97,99,98,97,98,97,95,94,93,93,93,87,94,94,97,87,82,81
"MENA","DZA","Algeria","BCG",99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,97,97,97,95,94,94,93,93,95,97
"ESAR","AGO","Angola","BCG",56,58,69,72,69,40,64,72,71,73,74,79,70,73,75,54,51,63,54,76,70,53,49,60,70,65,60,48,53,47
"LACR","ARG","Argentina","BCG",81,75,85,93,95,92,96,99,99,99,99,99,99,99,99,99,99,99,99,95,92,95,96,98,99,99,99,99,99,99
"ECAR","ARM","Armenia","BCG",98,99,99,99,99,99,99,99,99,96,96,95,99,98,94,91,94,96,92,97,96,97,93,95,72,82,84,83,84,88
"ECAR","AZE","Azerbaijan","BCG",95,94,96,97,97,98,98,98,98,98,99,98,95,92,88,86,82,82,83,82,83,81,82,79,77,76,76,77,74,69
"ROSA","BGD","Bangladesh","BCG",99,99,99,99,99,99,99,99,99,98,99,98,99,99,98,97,97,96,93,95,95,94,92,91,92,90,93,95,93,89
"ECAR","BLR","Belarus","BCG",98,97,97,98,98,98,97,98,99,98,99,99,98,98,98,99,99,99,99,99,99,99,99,99,98,97,96,94,93,95
"LACR","BLZ","Belize","BCG",84,76,95,99,90,94,98,98,99,98,98,98,99,98,99,97,96,99,99,96,98,96,96,93,85,90,92,90,91,97
"WCAR","BEN","Benin","BCG",88,88,88,88,88,88,96,96,95,96,88,90,93,96,97,93,88,89,90,90,91,92,87,83,78,80,85,94,89,84
"ROSA","BTN","Bhutan","BCG",99,98,92,99,99,99,99,99,97,95,95,96,94,99,94,92,92,92,93,83,81,97,90,94,92,98,98,96,89,90
"LACR","BOL","Bolivia (Plurinational State of)","BCG",78,82,80,90,93,96,99,94,94,99,99,98,93,90,87,87,88,86,96,93,90,92,95,85,88,98,87,92,84,81
"ECAR","BIH","Bosnia and Herzegovina","BCG",95,95,95,95,97,97,95,98,97,96,94,96,97,96,98,97,95,95,94,91,95,93,99,92,97,80,64,85,24,20
"ESAR","BWA","Botswana","BCG",98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,96,95,94
"LACR","BRA","Brazil","BCG",63,67,79,92,91,90,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,93,95,90
"EAPR","BRN","Brunei Darussalam","BCG",99,99,99,99,99,99,99,99,99,99,96,95,99,99,96,99,94,99,95,95,99,99,98,96,99,99,99,99,99,97
"ECAR","BGR","Bulgaria","BCG",97,97,96,96,96,96,96,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,99,98,97,98,99,98,99,99
"WCAR","BFA","Burkina Faso","BCG",98,98,98,98,98,98,98,98,96,96,99,99,99,99,99,99,99,99,83,90,80,81,77,79,75,73,72,75,80,85
"ESAR","BDI","Burundi","BCG",95,83,93,91,92,93,93,92,95,98,90,93,98,99,97,98,89,91,90,88,87,85,84,86,87,90,92,61,73,90
"WCAR","CPV","Cabo Verde","BCG",98,98,98,96,98,96,94,99,94,99,99,99,99,99,99,99,99,99,98,97,96,96,95,94,93,94,94,95,95,99
"EAPR","KHM","Cambodia","BCG",95,97,98,93,99,99,99,98,96,99,98,95,96,98,90,87,87,95,76,63,64,81,78,69,67,68,69,63,57,50
"WCAR","CMR","Cameroon","BCG",77,80,80,84,87,84,83,87,82,81,80,83,81,91,89,96,90,83,82,79,79,78,78,80,75,69,62,59,58,62
"WCAR","CAF","Central African Republic","BCG",61,61,61,61,61,61,64,68,37,74,74,74,74,74,74,74,74,73,72,71,70,66,62,70,78,86,94,77,81,85
"WCAR","TCD","Chad","BCG",67,60,51,26,59,59,70,58,60,62,52,58,46,30,44,56,41,41,40,46,52,49,45,45,45,39,43,43,34,34
"LACR","CHL","Chile","BCG",98,98,98,96,96,97,93,98,98,92,91,95,95,99,98,98,95,95,95,96,98,93,95,92,92,99,97,99,97,99
"EAPR","CHN","China","BCG",99,99,99,99,99,99,99,99,99,99,99,99,99,97,94,92,86,86,85,85,85,84,84,83,83,84,79,89,92,94
"LACR","COL","Colombia","BCG",87,89,90,89,91,88,90,89,85,89,87,84,90,93,93,96,94,92,97,87,87,91,80,85,97,99,99,99,96,88
"ESAR","COM","Comoros","BCG",96,91,94,94,94,94,94,90,85,79,78,76,80,81,77,84,80,79,79,90,90,90,87,84,55,55,95,94,95,81
"WCAR","COG","Congo","BCG",81,72,80,81,76,80,85,95,92,92,95,95,90,93,86,84,73,85,60,51,53,50,39,34,29,51,58,61,63,75
"EAPR","COK","Cook Islands","BCG",99,99,99,99,99,99,99,99,98,98,98,99,99,99,99,99,99,99,99,98,98,99,97,98,85,90,96,99,94,94
"LACR","CRI","Costa Rica","BCG",88,99,99,99,99,99,99,95,93,91,90,88,91,99,99,95,96,97,93,96,91,95,91,88,82,92,99,94,98,94
"WCAR","CIV","Cote d'Ivoire","BCG",93,91,97,96,93,95,80,85,85,93,76,79,95,91,94,77,85,71,78,79,80,80,74,71,73,68,69,75,74,70
"ECAR","HRV","Croatia","BCG",97,98,98,98,98,99,98,98,99,99,99,99,99,99,99,99,98,98,98,99,97,98,96,97,98,99,99,98,98,92
"LACR","CUB","Cuba","BCG",99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,98
"EAPR","PRK","Democratic People's Republic of Korea","BCG",95,99,96,96,98,97,97,98,98,98,98,98,98,97,96,96,94,95,88,96,82,78,73,69,64,73,82,90,99,99
"WCAR","COD","Democratic Republic of the Congo","BCG",67,83,84,86,85,83,79,80,85,83,65,83,83,79,76,72,72,68,61,50,43,57,30,25,25,25,34,46,43,32
"MENA","DJI","Djibouti","BCG",61,77,95,93,92,90,92,99,86,87,89,90,90,90,90,88,80,71,63,52,38,34,26,35,43,51,51,51,51,51
"LACR","DMA","Dominica","BCG",89,98,98,95,97,98,98,98,97,98,98,99,99,98,90,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99
"LACR","DOM","Dominican Republic","BCG",99,85,99,99,99,99,99,99,99,99,99,98,96,92,92,95,96,97,95,97,98,90,99,86,88,79,90,86,82,78
"LACR","ECU","Ecuador","BCG",75,81,86,90,88,84,88,89,90,94,98,98,99,98,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99
"MENA","EGY","Egypt","BCG",97,96,96,95,86,96,96,96,98,95,98,98,98,98,98,99,98,98,98,98,98,98,98,99,98,95,93,95,95,92
"LACR","SLV","El Salvador","BCG",78,79,78,81,83,87,99,85,90,90,95,96,99,99,99,93,84,94,91,92,92,99,99,99,95,98,99,82,79,62
"WCAR","GNQ","Equatorial Guinea","BCG",85,85,85,85,85,85,77,85,82,78,75,71,71,71,72,72,72,72,72,72,73,73,73,99,99,99,99,99,98,97
